 Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,   44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,Year
 1880 ,-50  ,-62  ,-38  ,-75  ,-44  ,-32  ,-115 ,-84  ,-59  ,-42  ,-48  ,-31  ,3    ,*****,1880 
 1881 ,-47  ,-50  ,-44  ,-54  ,-44  ,-47  ,-87  ,-73  ,-30  ,-44  ,-39  ,-43  ,-27  ,*****,1881 
 1882 ,-37  ,-43  ,-31  ,-56  ,-26  ,-34  ,-133 ,-48  ,-42  ,-24  ,-26  ,-30  ,-14  ,*****,1882 
 1883 ,-39  ,-60  ,-17  ,-75  ,-33  ,-18  ,-18  ,-103 ,-67  ,-38  ,-15  ,-20  ,23   ,*****,1883 
 1884 ,-67  ,-82  ,-52  ,-98  ,-59  ,-49  ,-118 ,-107 ,-85  ,-58  ,-55  ,-36  ,-68  ,*****,1884 
 1885 ,-50  ,-55  ,-46  ,-80  ,-26  ,-45  ,-122 ,-84  ,-64  ,-17  ,-47  ,-36  ,-46  ,*****,1885 
 1886 ,-64  ,-58  ,-71  ,-73  ,-48  ,-57  ,-112 ,-69  ,-66  ,-34  ,-93  ,-49  ,-51  ,*****,1886 
 1887 ,-69  ,-67  ,-72  ,-75  ,-63  ,-62  ,-149 ,-86  ,-46  ,-53  ,-87  ,-61  ,-27  ,*****,1887 
 1888 ,-49  ,-60  ,-39  ,-79  ,-32  ,-45  ,-147 ,-95  ,-47  ,-31  ,-30  ,-17  ,-87  ,*****,1888 
 1889 ,-23  ,-30  ,-16  ,-46  ,0    ,-38  ,-67  ,-49  ,-37  ,-7   ,16   ,-22  ,-55  ,*****,1889 
 1890 ,-60  ,-53  ,-66  ,-59  ,-61  ,-51  ,-106 ,-74  ,-31  ,-44  ,-89  ,-54  ,-23  ,*****,1890 
 1891 ,-63  ,-47  ,-79  ,-60  ,-61  ,-56  ,-124 ,-49  ,-51  ,-26  ,-113 ,-48  ,-51  ,*****,1891 
 1892 ,-54  ,-52  ,-56  ,-64  ,-45  ,-55  ,-141 ,-73  ,-36  ,-34  ,-58  ,-53  ,-36  ,*****,1892 
 1893 ,-57  ,-57  ,-57  ,-63  ,-63  ,-42  ,-97  ,-62  ,-52  ,-49  ,-78  ,-57  ,16   ,*****,1893 
 1894 ,-47  ,-47  ,-48  ,-52  ,-54  ,-32  ,-120 ,-50  ,-30  ,-39  ,-71  ,-41  ,11   ,*****,1894 
 1895 ,-38  ,-42  ,-34  ,-53  ,-36  ,-26  ,-89  ,-59  ,-34  ,-26  ,-48  ,-26  ,-6   ,*****,1895 
 1896 ,-33  ,-34  ,-33  ,-56  ,-27  ,-16  ,-118 ,-68  ,-24  ,-1   ,-57  ,-13  ,-4   ,*****,1896 
 1897 ,-24  ,-20  ,-29  ,-37  ,-4   ,-38  ,-67  ,-36  ,-26  ,7    ,-17  ,-23  ,-51  ,*****,1897 
 1898 ,-39  ,-30  ,-49  ,-39  ,-32  ,-48  ,-115 ,-30  ,-19  ,-16  ,-50  ,-34  ,-59  ,*****,1898 
 1899 ,-33  ,-16  ,-50  ,-26  ,-32  ,-38  ,-105 ,-17  ,-5   ,0    ,-67  ,-26  ,-45  ,*****,1899 
 1900 ,-17  ,-11  ,-23  ,-19  ,-5   ,-30  ,-64  ,-16  ,-6   ,1    ,-12  ,-15  ,-48  ,*****,1900 
 1901 ,-18  ,-11  ,-25  ,-14  ,-19  ,-21  ,-49  ,4    ,-17  ,-7   ,-31  ,-19  ,0    ,*****,1901 
 1902 ,-38  ,-35  ,-41  ,-59  ,-11  ,-52  ,-162 ,-65  ,-16  ,1    ,-23  ,-35  ,-73  ,*****,1902 
 1903 ,-45  ,-35  ,-55  ,-44  ,-33  ,-62  ,-47  ,-37  ,-48  ,-21  ,-44  ,-57  ,-50  ,*****,1903 
 1904 ,-56  ,-47  ,-65  ,-44  ,-64  ,-56  ,-33  ,-46  ,-47  ,-50  ,-79  ,-47  ,-48  ,-168 ,1904 
 1905 ,-36  ,-30  ,-43  ,-37  ,-24  ,-52  ,-19  ,-21  ,-57  ,-18  ,-30  ,-47  ,-41  ,-87  ,1905 
